user_id,screen_name,followers_count,friends_count,listed_count,favourites_count,tweet_num,protected,verfied,label
2198516225,_Banzi_,27,199,0,601,122,0,0,1
1504258025804210176,DelorbeTori,81,2771,0,0,6,0,0,1
1581474148571877377,omkarVyawahare2,0,56,0,24,0,0,0,1
2967681610,L1BERTE_S,50,68,1,8735,2238,0,0,1
1400890434,mistamomo_,356,1104,19,18347,20160,0,0,1
1551514349667160064,Digi_dynamo,62,340,1,88,184,0,0,1
2545252076,Wordsnail,168,334,0,57312,12814,0,0,1
1554778352409399296,Jameer22115658,5,23,0,3,0,0,0,1
67678107,albanisaL,1973,2152,68,142,24432,0,0,1
947658475940864000,sky_walker877,60,2553,4,24369,2066,0,0,1
1032210307026960384,BabalauKhalid,1648,4627,1,5893,1788,0,0,1
1450157674532835341,VIRTUALREALITYA,81,1530,0,467,704,0,0,1
1341461095211528200,NotVeryPastoral,2022,4707,1,41,161,0,0,1
2724599329,magicomundo21,34320,10975,35,426,3163,0,0,1
3224985030,kapilarora1985,61,127,0,0,0,0,0,1
1386257010841333760,Neeraj92503620,4,134,0,738,49,0,0,1
1484188313753845763,OletRonald93,13,131,0,5,1,0,0,1
1545598425214947329,absolutelynot76,2,67,0,196,3,0,0,1
1293161350386954245,Avrnzz,0,1637,0,116,0,1,0,1
147711709,krsp70,1075,3872,22,6316,20138,0,0,1
772176898386427909,KupresakDanel,6,97,0,4,0,0,0,1
205071077,dillipc2,17,89,0,3,3,0,0,1
1277932250970181632,CultofLee,46,480,0,59,307,0,0,1
163545765,popstar_100,75,398,1,2734,5245,0,0,1
1565409978709676033,GodwinKaturebe,44,220,0,317,18,0,0,1
3069027641,lourdescueva96,50,277,1,416,507,0,0,1
1558649864816566273,yadav_nirahu,30,66,0,9,6,0,0,1
1560557379766435841,ApostleOtare,39,178,0,31,14,0,0,1
1558185456264773635,ShahdMosaad10,0,147,0,0,1,0,0,1
1299948077193793536,misfit_868,89,4041,0,9878,2288,1,0,1
455858575,pehnaz,2143,602,2,1,115,0,0,1
1569735406463365120,one_folo,64,391,0,1,22,0,0,1
3551773941,felixfamily671,43,306,1,11,8,0,0,1
2900086282,fox2817,22,104,1,13,20,0,0,1
1581358747699617792,Thatguy056091,7,112,0,4,2,0,0,1
2436742271,hornbuckle_c,3,4336,0,509,126,1,0,1
2466451334,animezdeka99,5,94,0,2,4,0,0,1
3034398989,seydousoro01,12,202,0,5,9,0,0,1
1566208841192185857,MinnickDylan,2,59,1,0,0,0,0,1
1550860629485195265,leonardaang,66,2884,1,333,67,0,0,1
2882274964,Jes_Mic,28,95,0,1,3,0,0,1
830412344727629825,StarWarsGaz,191,2150,1,2158,389,0,0,1
2342254872,JrMintNite,827,1248,0,16657,5751,0,0,1
1510943081620819977,Sofialovecat,602,698,0,113,93,0,0,1
1548852689148280838,kate05988698,18,119,0,0,2,0,0,1
1324819710798684160,BrkyLudoz,1603,5005,1,1830,733,0,0,1
1548942309940658177,FakoredeOyesiku,11,52,0,0,5,0,0,1
2248666371,emma58744134,20,439,0,2918,3,0,0,1
1574477224375422976,Jennife06477297,63,381,0,10,9,0,0,1
1537634023178002432,spuncandyco,33,272,0,18,22,0,0,1
870211955004289024,liwen43341101,0,137,0,18,0,1,0,1
1154730168113598464,Marek35281146,0,37,0,254,44,0,0,1
707303502419091456,jtang2000,9,596,3,1670,1,0,0,1
390940660,selin_johan,34,888,0,2923,359,0,0,1
857737102955393024,springmitang,35,215,1,467,1292,0,0,1
838282882783203328,OiAJ3ggjqRiowXb,14,4994,0,12819,84,1,0,1
2738316472,mika_mig,25,439,0,3,1,1,0,1
916979550701076480,KnollHelmut,0,52,0,6,24,1,0,1
14657348,tedtruth,13,321,0,72,239,0,0,1
797435517281378304,VJass2,0,3515,0,439,2,1,0,1
1298591298258194433,DawidRan,25,434,8,10920,184,0,0,1
1576433798924886017,khaledxrma,10,870,0,92,10,0,0,1
1527166147665178626,CarmelaMatia,20,297,0,102,12,0,0,1
862354501021220865,ANilsilp,40,2137,0,65,59,0,0,1
786958334461181952,RaminFarahani89,9,41,0,149,4,0,0,1
976824265,ry_haze,11,139,0,59,911,0,0,1
1385969249227845635,MalcolmMcClusk1,112,1436,0,1023,3067,1,0,1
705194337508806657,kimj247,388,3020,5,13415,7020,0,0,1
1435657481850589199,NebojsaOndrej,2,99,0,45,37,0,0,1
934337778,tz_yf,0,426,0,14426,6472,1,0,1
1356971598008483840,rave_eva,3,70,2,8,0,0,0,1
845932401956139009,ZastrowDavid,29,166,0,103,59,0,0,1
714574181048971264,JuniorAinamani,77,222,0,848,1486,0,0,1
1183243894202359808,MGJZJN,964,874,1,8881,5051,0,0,1
