,text,location,friends_count,followers_count,screen_name,retweet_count,favorite_count,description
0,Las Vegas stabbing suspect solicited employment from strangers 2 days prior to attack https://t.co/Lx1VMO3WfT,U.S.A.,261,22469096,FoxNews,0,1,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
1,Michigan Democrat calls for 'new blood' when asked about Biden running in 2024 https://t.co/ECrh2oHps6,U.S.A.,261,22469096,FoxNews,9,33,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
2,Prince Harry will 'have a hell of a fight on his hands' to keep tell-all book from coming out: royal expert https://t.co/K0f2UMsEqf,U.S.A.,261,22469096,FoxNews,7,21,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
3,Selena Gomez shares 'My Mind and Me' documentary trailer: 'I'm grateful to be alive' https://t.co/setssH1YmO,U.S.A.,261,22469096,FoxNews,3,47,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
4,"Charlie Puth says Ellen DeGeneres' record label ""disappeared"" on him https://t.co/Jjk6YfUaNz",U.S.A.,261,22469096,FoxNews,3,34,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
5,Ilhan Omar equates women protesting Islamic law in Iran with abortion fight in US https://t.co/UfqMIdZiOp,U.S.A.,261,22469096,FoxNews,22,88,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
6,Matt Rhule's firing from Panthers underscores difficulty college football head coaches have in NFL https://t.co/iCxhwotLmW,U.S.A.,261,22469096,FoxNews,7,57,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
7,Texas mayor calls out Kamala Harris for not visiting border during weekend trip https://t.co/53ubtUNEZf,U.S.A.,261,22469096,FoxNews,61,381,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
8,Whitney Houston producer Clive Davis is excited for new film: 'Nobody has touched the real person of Whitney' https://t.co/GLubcRUJ2q,U.S.A.,261,22469096,FoxNews,11,58,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
9,Darrell Issa accuses Biden DOD of moving goalposts to hide scale of recruiting crisis https://t.co/fcyLFgTDhw,U.S.A.,261,22469096,FoxNews,37,127,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
10,DeSantis campaign ad touts governor's support for his wife during her battle with breast cancer https://t.co/zUJoRo3mVi,U.S.A.,261,22469096,FoxNews,36,226,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
11,Jamie Lee Curtis gets emotional while addressing Ye's anti-Semitic tweet: 'It's abhorrent behavior' https://t.co/eaAbWeGazK,U.S.A.,261,22469096,FoxNews,7,71,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
12,Former Democratic New York Govenor says he’s never felt more unsafe in NYC amid crime crisis https://t.co/4FE8bGdqz4,U.S.A.,261,22469096,FoxNews,55,172,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
13,Las Vegas strip stabbing suspect was caught on LA news camera two days before attack: 'asking for help' https://t.co/VE7PmNic9j,U.S.A.,261,22469096,FoxNews,31,70,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
14,Panthers fire Matt Rhule after poor start to 2022 season https://t.co/aKToS2cpw7,U.S.A.,261,22469096,FoxNews,7,50,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
15,"Taiwan says war with China 'absolutely' not an option, but bolstering defences https://t.co/d3ASG6tm2I",U.S.A.,261,22469096,FoxNews,23,104,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
16,Gowdy rips Democrats' devotion to 'soft-on-crime' policies in major US cities: 'Crime is a tax on the poor' https://t.co/sSFifScZq4,U.S.A.,261,22469096,FoxNews,42,227,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
17,Spotlight on crime grows ahead of midterm elections following shooting outside home of Lee Zeldin https://t.co/jKK5CxMSuA,U.S.A.,261,22469096,FoxNews,19,95,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
18,"$10M in ARP funds went to Providence ‘reparations’ commission pushing for bail fund, K-12 racism curriculum https://t.co/Ftoym3px84",U.S.A.,261,22469096,FoxNews,58,100,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
19,"New York teens shot outside GOP candidate Lee Zeldin's home identified, no arrests made: report https://t.co/KxlYYghJ64",U.S.A.,261,22469096,FoxNews,28,98,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
20,Kelly Rizzo remembers late husband Bob Saget nine months after his death: 'Feels like forever' https://t.co/aECjyT2Kpr,U.S.A.,261,22469096,FoxNews,4,73,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
21,'Fake heiress' Anna Sorokin speaks on her fight against deportation after release from ICE detention https://t.co/eN5GXeiFGE,U.S.A.,261,22469096,FoxNews,21,61,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
22,Cardinals' Justin Pugh explicitly defends Matt Ammendola after missed field goal: 'It’s not one f---ing guy' https://t.co/gL6qGOpBhy,U.S.A.,261,22469096,FoxNews,6,48,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
23,Mila Kunis slams standing ovation for Will Smith at Oscars after slap: 'Insane to me' https://t.co/HJGvFjebFz,U.S.A.,261,22469096,FoxNews,37,376,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
24,Lee Zeldin says NY crime crisis 'showed up at our doorstep' after shooting outside home with daughters inside https://t.co/J8Pdfhyrla,U.S.A.,261,22469096,FoxNews,52,177,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
25,Arizona rescue divers recover body of missing California swimmer who jumped from boat https://t.co/NIXjQeC5ck,U.S.A.,261,22469096,FoxNews,16,65,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
26,Jen Psaki downplays Hunter Biden charges hurting Democrats in midterms https://t.co/1DFqk7rwgc,U.S.A.,261,22469096,FoxNews,40,141,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
27,Texas teen's grandmother turns him in to San Antonio police for allegedly shooting man https://t.co/tKomTJd6mt,U.S.A.,261,22469096,FoxNews,12,152,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
28,Padres' Joe Musgrove understands Mets' decision to call for substance check: 'They're desperate' https://t.co/reTcnvb5GJ,U.S.A.,261,22469096,FoxNews,8,73,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
29,"BREAKING NEWS: Ukraine's Zelenskyy to address West at emergency G7 meeting following onslaught of missile attacks

https://t.co/IeFCOFL4Ne",U.S.A.,261,22469096,FoxNews,153,473,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
30,"Young Wyoming parents skipping meals, turning to ramen noodles as inflation, gas prices soar https://t.co/fOHQQpsO7n",U.S.A.,261,22469096,FoxNews,106,289,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
